name,cluster,cluster_name
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",3,Fire Tablets
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Free 3G + Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",3,Fire Tablets
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",3,Fire Tablets
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",3,Fire Tablets
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",3,Fire Tablets
"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",3,Fire Tablets
"Amazon Fire HD 8 with Alexa (8"" HD Display Tablet)",4,Accessories
AmazonBasics Single-Door Folding Metal Dog Crate - Large (42x28x30 Inches),0,Pet & Home Essentialss
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi + Free Cellular Connectivity",1,E-Readers & Kids Tablets
AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches),0,Pet & Home Essentialss
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Pink Kid-Proof Case",3,Fire Tablets
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",3,Fire Tablets
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Marine Blue - with Special Offers",3,Fire Tablets
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Marine Blue - with Special Offers",3,Fire Tablets
"Fire Tablet with Alexa, 7 Display, 16 GB, Magenta - with Special Offers",3,Fire Tablets
Echo Dot (Previous generation),2,Smart Home Devices & Accessories
"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers",3,Fire Tablets
"Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 8 GB, Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",1,E-Readers & Kids Tablets
"Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers",3,Fire Tablets
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",1,E-Readers & Kids Tablets
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
Amazon Fire TV Gaming Edition Streaming Media Player,2,Smart Home Devices & Accessories
Certified Refurbished Amazon Fire TV with Alexa Voice Remote,2,Smart Home Devices & Accessories
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
AmazonBasics Bluetooth Keyboard for Android Devices - Black,4,Accessories
Amazon Kindle Replacement Power Adapter (Fits Latest Generation Kindle and Kindle DX) For shipment in the U.S only,4,Accessories
"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",3,Fire Tablets
